,event_id,Datetime,Station,ConditionCode,MeterSetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,TowLocation,SamplingAltered,FieldComments,LabComments,Flag_SAMP,Comment_SAMP,Flag_LAB,Comment_LAB
33,STTD_2023-01-24 10:28:00,1/24/2023 10:28,STTD,1,5,Reg,542612,559438,Center,Y,NA,N/A,0,,1,LAB
34,STTD_2023-01-30 09:52:00,1/30/2023 9:52,STTD,1,5,Reg,559764,567743,Center,Y,NA,N/A,0,,1,LAB
35,STTD_2023-02-09 11:01:00,2/9/2023 11:01,STTD,1,5,Low,567645,565522,Center,Y,NA,"Distinct taxon in project. IDd as YSL, but all specimens are tranistional late YSL and early PYSL.",0,,1,LAB
36,STTD_2023-02-21 10:20:00,2/21/2023 10:20,STTD,1,10,Low,565319,562013,Center,N,NA,"Distinct taxon in project. IDd as YSL, but all specimens are tranistional late YSL and early PYSL.",0,,1,LAB
37,STTD_2023-03-06 09:45:00,3/6/2023 9:45,STTD,1,10,Low,561893,557610,Center,N,NA,"Distinct taxon in project. IDd as YSL, but all specimens are tranistional late YSL and early PYSL.",0,,1,LAB
38,STTD_2023-03-16 09:34:00,3/16/2023 9:34,STTD,NA,NA,NA,NA,NA,NA,Y,Reduced tow time 1/2. RSTR moved to side of channel & sampled on port side,NA,1,SAMP,0,
39,STTD_2023-03-29 08:32:00,3/29/2023 8:32,STTD,1,10,Reg,560242,596407,Center,N,NA,N/A,0,,1,LAB
40,STTD_2023-04-03 09:42:00,4/3/2023 9:42,STTD,1,10,Low,596418,579887,Center,N,NA,Distinct hypostom pigment.,0,,1,LAB
41,STTD_2023-04-10 09:25:00,4/10/2023 9:25,STTD,1,10,Low,579693,570510,Center,N,NA,Distinct taxon in project.,0,,1,LAB
42,STTD_2023-05-01 09:07:00,5/1/2023 9:07,STTD,1,10,Low,570348,566851,Center,N,NA,"63% PAL, 9 dors rays, 10 anal rays, apparent symmetrical caudal fin, small (terminial?) mouth, heavy pigment on occiput. Myomere counts appear to be approx  45 but somewhat obscured by pigment and development. Final ID based on total myomere count of 45 and pigmentation.  No caudal spot at length excludes blackfish and hitch and roach (as do other characters).",0,,1,LAB
43,STTD_2023-05-15 08:12:00,5/15/2023 8:12,STTD,1,10,Low,566657,563067,Center,N,NA,Same taxon as in RC,0,,1,LAB
44,STTD_2023-05-30 08:04:00,5/30/2023 8:04,STTD,1,10,Low,562833,559791,Center,N,NA,Distinct taxon in project.,0,,1,LAB
45,STTD_2023-06-12 08:17:00,6/12/2023 8:17,STTD,1,10,Low,559631,557308,Center,N,NA,"Very small at development, long PAL, total myomere counts approx 44. Small size at yolk absorption excludes Alosa and Clupea.",0,,1,LAB
46,STTD_2023-06-26 12:24:00,6/26/2023 12:24,STTD,1,10,Low,557248,552226,Center,N,NA,39 total myomeres is diagnostic,0,,1,LAB
47,STTD_2024-01-08 09:19:00,1/8/2024 9:19,STTD,1,10,Low,944200,940677,Center,N,Towed from boat-FLD tide,N/A,1,SAMP,1,LAB
48,STTD_2024-01-29 11:44:00,1/29/2024 11:44,STTD,1,10,Low,940600,934962,Center,N,NA,Distinct taxon in project,0,,1,LAB
49,STTD_2024-02-06 09:58:00,2/6/2024 9:58,STTD,1,5,Low,934934,933265,Center,N,Reduced tow time - high turbidity. Used low flow rotor b/c best available data indicated ft/s < 3.0,Distinct taxon in project,1,SAMP,1,LAB
50,STTD_2024-02-13 12:12:00,2/13/2024 12:12,STTD,1,5,Low,933224,923911,Center,Y,Halfed tows. Ft/sec on CDEC @ beginning of day < 2.8 ft/s,N/A,1,SAMP,1,LAB
51,STTD_2024-02-20 09:53:00,2/20/2024 9:53,STTD,3,5,Low,923898,917942,Center,N,Halfed tows b/c of flow,N/A,1,SAMP,1,LAB
52,STTD_2024-02-26 11:12:00,2/26/2024 11:12,STTD,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0,
53,STTD_2024-03-04 09:39:00,3/4/2024 9:39,STTD,1,5,Low,917900,910220,Center,N,Halfed tows,Distinct taxon in project,1,SAMP,1,LAB
54,STTD_2024-03-11 08:50:00,3/11/2024 8:50,STTD,1,5,Low,910222,901950,Center,N,Should probably be 'REG',Distinct taxon in project,2,FM,1,LAB
55,STTD_2024-03-25 09:21:00,3/25/2024 9:21,STTD,1,10,Low,902000,893256,Center,N,NA,Distinct taxon in project,0,,1,LAB
56,STTD_2024-04-08 09:07:00,4/8/2024 9:07,STTD,1,10,Low,893000,886227,Center,N,NA,Distinct taxon in project,0,,1,LAB
57,STTD_2024-04-15 10:20:00,4/15/2024 10:20,STTD,1,10,Low,886205,881217,Center,N,Switched to Ebb tide,Distinct taxon in project,1,SAMP,1,LAB
58,STTD_2024-05-06 09:14:00,5/6/2024 9:14,STTD,1,10,Low,881180,876350,Center,N,From trap,Uncertain taxon,1,SAMP,1,LAB
59,STTD_2024-05-20 07:50:00,5/20/2024 7:50,STTD,1,10,Low,876340,872567,Center,N,NA,Approx 43 total myomeres distinguishes from A. sapidissima  in project,0,,1,LAB
60,STTD_2024-06-03 08:25:00,6/3/2024 8:25,STTD,NA,NA,NA,NA,NA,NA,Y,Numbers on flowmeter sliding around: use larval net rotor for tow,NA,2,FM,0,
61,STTD_2024-06-17 08:24:00,6/17/2024 8:24,STTD,1,10,Low,541222,537615,Center,N,NA,50+ total myomeres distinguishes from D.petenense in project,0,,1,LAB
