"measuring_program","date","time","station","sam_code","sample_id","short_name","attribute","observable","count","total_length","fork_length","life","larval_life_stage"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","4.5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","6","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-06,"09:58","STTD","","20240206_0958_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",13,"","5","L","L-Preflexion"
"YBFMP",2024-02-13,"12:12","STTD","","20240213_1212_STTD_ICH","ICH","Ichthyoplankton","No Catch",0,"",NA,NA,""
"YBFMP",2024-02-20,"09:53","STTD","","20240220_0953_STTD_ICH","ICH","Ichthyoplankton","No Catch",0,"",NA,NA,""
"YBFMP",2024-03-04,"09:39","STTD","","20240304_0939_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",4,"","4","L","L-Preflexion"
"YBFMP",2024-03-04,"09:39","STTD","","20240304_0939_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",4,"","4","L","L-Preflexion"
"YBFMP",2024-03-04,"09:39","STTD","","20240304_0939_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",4,"","5","L","L-Preflexion"
"YBFMP",2024-03-04,"09:39","STTD","","20240304_0939_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",4,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","4","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","4","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",7,"","5","L","L-Preflexion"
"YBFMP",2024-03-11,"08:50","STTD","","20240311_0850_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",1,"","6","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","5","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","5","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4.5","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",9,"","4","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",1,"","6.5",NA,""
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",1,"","6.5","L","L-Preflexion"
"YBFMP",2024-03-25,"09:21","STTD","","20240325_0921_STTD_ICH","ICH","Ichthyoplankton","Cyprinus carpio",1,"","6.5","L","L-Preflexion"
"YBFMP",2024-04-08,"09:07","STTD","","20240408_0907_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",2,"","4","L","L-Preflexion"
"YBFMP",2024-04-08,"09:07","STTD","","20240408_0907_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",2,"","5","L","L-Preflexion"
"YBFMP",2024-04-08,"09:07","STTD","","20240408_0907_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",1,"","5","L","L-Preflexion"
"YBFMP",2024-04-15,"10:20","STTD","","20240415_1020_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",1,"","5",NA,""
"YBFMP",2024-05-06,"09:14","STTD","","20240506_0914_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",3,"","32",NA,""
"YBFMP",2024-05-06,"09:14","STTD","","20240506_0914_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",3,"","35",NA,""
"YBFMP",2024-05-06,"09:14","STTD","","20240506_0914_STTD_ICH","ICH","Ichthyoplankton","Cyprinidae",3,"","35",NA,""
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Cottus asper",1,"","5",NA,""
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",4,"","4","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",4,"","4","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",4,"","4","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",4,"","5","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Dorosoma petenense",3,"","8","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Dorosoma petenense",3,"","6","L","L-Preflexion"
"YBFMP",2024-05-20,"07:50","STTD","","20240520_0750_STTD_ICH","ICH","Ichthyoplankton","Dorosoma petenense",3,"","7","L","L-Preflexion"
"YBFMP",2024-06-03,"08:25","STTD","","20240603_0825_STTD_ICH","ICH","Ichthyoplankton","Alosa sapidissima",2,"","24",NA,""
"YBFMP",2024-06-03,"08:25","STTD","","20240603_0825_STTD_ICH","ICH","Ichthyoplankton","Alosa sapidissima",2,"","22",NA,""
"YBFMP",2024-06-03,"08:25","STTD","","20240603_0825_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",1,"","3.5","L","L-Preflexion"
"YBFMP",2024-06-17,"08:24","STTD","","20240617_0824_STTD_ICH","ICH","Ichthyoplankton","Alosa sapidissima",3,"","24",NA,""
"YBFMP",2024-06-17,"08:24","STTD","","20240617_0824_STTD_ICH","ICH","Ichthyoplankton","Alosa sapidissima",3,"","12",NA,""
"YBFMP",2024-06-17,"08:24","STTD","","20240617_0824_STTD_ICH","ICH","Ichthyoplankton","Alosa sapidissima",3,"","11",NA,""
"YBFMP",2024-06-17,"08:24","STTD","","20240617_0824_STTD_ICH","ICH","Ichthyoplankton","Menidia berylina",1,"","15",NA,""
